bibkey,title,year,type,venue,doi,openalex_id,cited_by,abstract,concepts,oa_topics,class,subsection,class_score,offtopic_score,margin,relevant
Gupta2020OnlineEstimation,Online Monitoring for Neural Network Based Monocular Pedestrian Pose Estimation,2020,inproceedings,"23rd IEEE International Conference on Intelligent Transportation Systems 2020, Rhodes, Greece, September 20-23, 2020",10.1109/itsc45102.2020.9294609,W3025364354,3,"Several autonomy pipelines now have core components that rely on deep learning approaches. While these approaches work well in nominal conditions, they tend to have unexpected and severe failure modes that create concerns when used in safety-critical applications, including self-driving cars. There are several works that aim to characterize the robustness of networks offline, but currently there is a lack of tools to monitor the correctness of network outputs online during operation. We investigate the problem of online output monitoring for neural networks that estimate 3D human shapes and poses from images. Our first contribution is to present and evaluate model-based and learning-based monitors for a human-pose-and-shape reconstruction network, and assess their ability to predict the output loss for a given test input. As a second contribution, we introduce an Adversarially-Trained Online Monitor (ATOM) that learns how to effectively predict losses from data. ATOM dominates model-based baselines and can detect bad outputs, leading to substantial improvements in human pose output quality. Our final contribution is an extensive experimental evaluation that shows that discarding outputs flagged as incorrect by ATOM improves the average error by 12.5%, and the worst-case error by 126.5%.",Computer science; Correctness; Robustness (evolution); Artificial intelligence; Artificial neural network; Machine learning; Pedestrian; Deep learning; Monocular; Pedestrian detection; Deep neural networks; Data mining; Real-time computing,Anomaly Detection Techniques and Applications; Advanced Optical Sensing Technologies; Advanced Neural Network Applications,Perception-related,Probability and Confidence Scores,0.3682,0.2852,0.0829,True
Gupta2020OnlineEstimationb,Online Monitoring for Neural Network Based Monocular Pedestrian Pose Estimation,2020,inproceedings,Intelligent Transportation Systems Conference 2020,10.1109/itsc45102.2020.9294609,W3025364354,3,"Several autonomy pipelines now have core components that rely on deep learning approaches. While these approaches work well in nominal conditions, they tend to have unexpected and severe failure modes that create concerns when used in safety-critical applications, including self-driving cars. There are several works that aim to characterize the robustness of networks offline, but currently there is a lack of tools to monitor the correctness of network outputs online during operation. We investigate the problem of online output monitoring for neural networks that estimate 3D human shapes and poses from images. Our first contribution is to present and evaluate model-based and learning-based monitors for a human-pose-and-shape reconstruction network, and assess their ability to predict the output loss for a given test input. As a second contribution, we introduce an Adversarially-Trained Online Monitor (ATOM) that learns how to effectively predict losses from data. ATOM dominates model-based baselines and can detect bad outputs, leading to substantial improvements in human pose output quality. Our final contribution is an extensive experimental evaluation that shows that discarding outputs flagged as incorrect by ATOM improves the average error by 12.5%, and the worst-case error by 126.5%.",Computer science; Correctness; Robustness (evolution); Artificial intelligence; Artificial neural network; Machine learning; Pedestrian; Deep learning; Monocular; Pedestrian detection; Deep neural networks; Data mining; Real-time computing,Anomaly Detection Techniques and Applications; Advanced Optical Sensing Technologies; Advanced Neural Network Applications,Perception-related,Probability and Confidence Scores,0.3682,0.2852,0.0829,True
Li2023Open-SetFramework,Open-Set Semantic Segmentation for Point Clouds via Adversarial Prototype Framework,2023,inproceedings,Proceedings of the IEEE CVF Conference on Computer Vision and Pattern Recognition,,W4386075841,15,"Recently, point cloud semantic segmentation has attracted much attention in computer vision. Most of the existing works in literature assume that the training and testing point clouds have the same object classes, but they are generally invalid in many real-world scenarios for identifying the 3D objects whose classes are not seen in the training set. To address this problem, we propose an Adversarial Prototype Framework (APF) for handling the open-set 3D semantic segmentation task, which aims to identify 3D unseen-class points while maintaining the segmentation performance on seen-class points. The proposed APF consists of a feature extraction module for extracting point features, a prototypical constraint module, and a feature adversarial module. The prototypical constraint module is designed to learn prototypes for each seen class from point features. The feature adversarial module utilizes generative adversarial networks to estimate the distribution of unseenclass features implicitly, and the synthetic unseen-class features are utilized to prompt the model to learn more effective point features and prototypes for discriminating unseen-class samples from the seen-class ones. Experimental results on two public datasets demonstrate that the proposed APF outperforms the comparative methods by a large margin in most cases.",Computer science; Point cloud; Margin (machine learning); Segmentation; Artificial intelligence; Adversarial system; Class (philosophy); Feature (linguistics); Point (geometry); Feature extraction; Constraint (computer-aided design); Set (abstract data type); Object (grammar); Semantics (computer science); Semantic feature; Pattern recognition (psychology); Task (project management); Machine learning,3D Shape Modeling and Analysis; 3D Surveying and Cultural Heritage; Remote Sensing and LiDAR Applications,Perception-related,Reconstructive and Generative,0.4332,0.2102,0.223,True
Nitsch2021Out-of-distributionPerception,Out-of-distribution detection for automotive perception,2021,inproceedings,2021 IEEE International Intelligent Transportation Systems Conference (ITSC),,W3094983298,4,"Neural networks (NNs) are widely used for object classification in autonomous driving. However, NNs can fail on input data not well represented by the training dataset, known as out-of-distribution (OOD) data. A mechanism to detect OOD samples is important for safety-critical applications, such as automotive perception, to trigger a safe fallback mode. NNs often rely on softmax normalization for confidence estimation, which can lead to high confidences being assigned to OOD samples, thus hindering the detection of failures. This paper presents a method for determining whether inputs are OOD, which does not require OOD data during training and does not increase the computational cost of inference. The latter property is especially important in automotive applications with limited computational resources and real-time constraints. Our proposed approach outperforms state-of-the-art methods on real-world automotive datasets.",Softmax function; Automotive industry; Computer science; Inference; Artificial intelligence; Normalization (sociology); Machine learning; Artificial neural network; Data mining,Adversarial Robustness in Machine Learning; Anomaly Detection Techniques and Applications; Advanced Neural Network Applications,Perception-related,Probability and Confidence Scores,0.4974,0.461,0.0364,True
Luan2021Out-of-DistributionFactor,Out-of-Distribution Detection for Deep Neural Networks With Isolation Forest and Local Outlier Factor,2021,article,IEEE Access,10.1109/access.2021.3108451,W3197264024,29,"Deep Neural Networks (DNNs) are extensively deployed in today’s safety-critical autonomous systems thanks to their high performance. However, they are known to make mistakes unpredictably, e.g., a DNN may misclassify an object if it is used for perception, or issue unsafe control commands if it is used for planning and control. One common cause for such unpredictable mistakes is Out-of-Distribution (OOD) inputs, i.e., test inputs that fall outside of the distribution of the training dataset. In this paper, we present a framework for OOD detection based on outlier detection in the hidden layers of a DNN by applying Isolation Forest (IF) and Local Outlier Factor (LOF) techniques. Extensive experimental evaluation indicates that LOF is a promising method in terms of both the Machine Learning metrics of precision, recall, F1 score and accuracy, and computational efficiency during testing.",Computer science; Outlier; Anomaly detection; Artificial intelligence; Local outlier factor; Artificial neural network; Deep learning; Machine learning; Isolation (microbiology); Deep neural networks; Object detection; Data mining; Pattern recognition (psychology),Anomaly Detection Techniques and Applications; Adversarial Robustness in Machine Learning; Fault Detection and Control Systems,Perception-related,Feature and Activation Extraction,0.4146,0.2306,0.184,True
Luan2021Out-of-distributionFactorb,Out-of-distribution detection for deep neural networks with isolation forest and local outlier factor,2021,article,IEEE Access,,W3197264024,29,"Deep Neural Networks (DNNs) are extensively deployed in today’s safety-critical autonomous systems thanks to their high performance. However, they are known to make mistakes unpredictably, e.g., a DNN may misclassify an object if it is used for perception, or issue unsafe control commands if it is used for planning and control. One common cause for such unpredictable mistakes is Out-of-Distribution (OOD) inputs, i.e., test inputs that fall outside of the distribution of the training dataset. In this paper, we present a framework for OOD detection based on outlier detection in the hidden layers of a DNN by applying Isolation Forest (IF) and Local Outlier Factor (LOF) techniques. Extensive experimental evaluation indicates that LOF is a promising method in terms of both the Machine Learning metrics of precision, recall, F1 score and accuracy, and computational efficiency during testing.",Computer science; Outlier; Anomaly detection; Artificial intelligence; Local outlier factor; Artificial neural network; Deep learning; Machine learning; Isolation (microbiology); Deep neural networks; Object detection; Data mining; Pattern recognition (psychology),Anomaly Detection Techniques and Applications; Adversarial Robustness in Machine Learning; Fault Detection and Control Systems,Perception-related,Feature and Activation Extraction,0.4146,0.2306,0.184,True
Sundar2020Out-of-distribution-vae,Out-of-distribution detection in multi-label datasets using latent space of $\beta$-vae,2020,inproceedings,2020 IEEE Security and Privacy Workshops (SPW),,W3011951316,4,"Learning Enabled Components (LECs) are widely being used in a variety of perception based autonomy tasks like image segmentation, object detection, end-to-end driving, etc. These components are trained with large image datasets with multimodal factors like weather conditions, time-of-day, traffic-density, etc. The LECs learn from these factors during training, and while testing if there is variation in any of these factors, the components get confused resulting in low confidence predictions. The images with factors not seen during training is commonly referred to as Out-of-Distribution (OOD). For safe autonomy it is important to identify the OOD images, so that a suitable mitigation strategy can be performed. Classical one-class classifiers like SVM and SVDD are used to perform OOD detection. However, the multiple labels attached to the images in these datasets, restricts the direct application of these techniques. We address this problem using the latent space of the $\beta$-Variational Autoencoder ($\beta$-VAE). We use the fact that compact latent space generated by an appropriately selected $\beta$-VAE will encode the information about these factors in a few latent variables, and that can be used for computationally inexpensive detection. We evaluate our approach on the nuScenes dataset, and our results shows the latent space of $\beta$-VAE is sensitive to encode changes in the values of the generative factor.",Artificial intelligence; Computer science; ENCODE; Autoencoder; Pattern recognition (psychology); Segmentation; Generative model; Support vector machine; Machine learning; Space (punctuation); Variation (astronomy); Object (grammar); Class (philosophy),Anomaly Detection Techniques and Applications; Machine Learning and Data Classification; Water Systems and Optimization,Perception-related,Foundation Model and Adaptive Learning,0.4358,0.3947,0.041,True
Guerin2023Out-of-DistributionNeed,Out-of-Distribution Detection Is Not All You Need,2023,inproceedings,AAAI 2023,10.1609/aaai.v37i12.26732,W4310440529,29,"The usage of deep neural networks in safety-critical systems is limited by our ability to guarantee their correct behavior. Runtime monitors are components aiming to identify unsafe predictions and discard them before they can lead to catastrophic consequences. Several recent works on runtime monitoring have focused on out-of-distribution (OOD) detection, i.e., identifying inputs that are different from the training data. In this work, we argue that OOD detection is not a well-suited framework to design efficient runtime monitors and that it is more relevant to evaluate monitors based on their ability to discard incorrect predictions. We call this setting out-of-model-scope detection and discuss the conceptual differences with OOD. We also conduct extensive experiments on popular datasets from the literature to show that studying monitors in the OOD setting can be misleading: 1. very good OOD results can give a false impression of safety, 2. comparison under the OOD setting does not allow identifying the best monitor to detect errors. Finally, we also show that removing erroneous training data samples helps to train better monitors.",Computer science; Scope (computer science); Machine learning; Data mining; Artificial intelligence,Adversarial Robustness in Machine Learning; Anomaly Detection Techniques and Applications; Risk and Safety Analysis,Trajectory-related,Challenging the System Under Test,0.4184,0.2724,0.146,True
Sun2022Out-of-DistributionNeighbors,Out-of-Distribution Detection with Deep Nearest Neighbors,2022,inproceedings,"International Conference on Machine Learning, ICML 2022, 17-23 July 2022, Baltimore, Maryland, USA",,W4223977507,61,"Out-of-distribution (OOD) detection is a critical task for deploying machine learning models in the open world. Distance-based methods have demonstrated promise, where testing samples are detected as OOD if they are relatively far away from in-distribution (ID) data. However, prior methods impose a strong distributional assumption of the underlying feature space, which may not always hold. In this paper, we explore the efficacy of non-parametric nearest-neighbor distance for OOD detection, which has been largely overlooked in the literature. Unlike prior works, our method does not impose any distributional assumption, hence providing stronger flexibility and generality. We demonstrate the effectiveness of nearest-neighbor-based OOD detection on several benchmarks and establish superior performance. Under the same model trained on ImageNet-1k, our method substantially reduces the false positive rate (FPR@TPR95) by 24.77% compared to a strong baseline SSD+, which uses a parametric approach Mahalanobis distance in detection. Code is available: https://github.com/deeplearning-wisc/knn-ood.",Mahalanobis distance; Generality; Computer science; k-nearest neighbors algorithm; Artificial intelligence; Parametric statistics; Feature (linguistics); Feature vector; Pattern recognition (psychology); Machine learning; Task (project management); Data mining,Anomaly Detection Techniques and Applications; Machine Learning and Data Classification; Adversarial Robustness in Machine Learning,Perception-related,Feature and Activation Extraction,0.3856,0.2453,0.1403,True
Sun2022Out-of-DistributionNeighborsb,Out-of-Distribution Detection with Deep Nearest Neighbors,2022,inproceedings,ICML 2022,,W4223977507,61,"Out-of-distribution (OOD) detection is a critical task for deploying machine learning models in the open world. Distance-based methods have demonstrated promise, where testing samples are detected as OOD if they are relatively far away from in-distribution (ID) data. However, prior methods impose a strong distributional assumption of the underlying feature space, which may not always hold. In this paper, we explore the efficacy of non-parametric nearest-neighbor distance for OOD detection, which has been largely overlooked in the literature. Unlike prior works, our method does not impose any distributional assumption, hence providing stronger flexibility and generality. We demonstrate the effectiveness of nearest-neighbor-based OOD detection on several benchmarks and establish superior performance. Under the same model trained on ImageNet-1k, our method substantially reduces the false positive rate (FPR@TPR95) by 24.77% compared to a strong baseline SSD+, which uses a parametric approach Mahalanobis distance in detection. Code is available: https://github.com/deeplearning-wisc/knn-ood.",Mahalanobis distance; Generality; Computer science; k-nearest neighbors algorithm; Artificial intelligence; Parametric statistics; Feature (linguistics); Feature vector; Pattern recognition (psychology); Machine learning; Task (project management); Data mining,Anomaly Detection Techniques and Applications; Machine Learning and Data Classification; Adversarial Robustness in Machine Learning,Perception-related,Feature and Activation Extraction,0.3856,0.2453,0.1403,True
Henzinger2020OutsideNetworks,Outside the Box: Abstraction-Based Monitoring of Neural Networks,2020,inproceedings,"ECAI 2020 - 24th European Conference on Artificial Intelligence, 29 August-8 September 2020, Santiago de Compostela, Spain",10.3233/faia200375,W2990866385,24,"Neural networks have demonstrated unmatched performance in a range of classification tasks. Despite numerous efforts of the research community, novelty detection remains one of the significant limitations of neural networks. The ability to identify previously unseen inputs as novel is crucial for our understanding of the decisions made by neural networks. At runtime, inputs not falling into any of the categories learned during training cannot be classified correctly by the neural network. Existing approaches treat the neural network as a black box and try to detect novel inputs based on the confidence of the output predictions. However, neural networks are not trained to reduce their confidence for novel inputs, which limits the effectiveness of these approaches. We propose a framework to monitor a neural network by observing the hidden layers. We employ a common abstraction from program analysis - boxes - to identify novel behaviors in the monitored layers, i.e., inputs that cause behaviors outside the box. For each neuron, the boxes range over the values seen in training. The framework is efficient and flexible to achieve a desired trade-off between raising false warnings and detecting novel inputs. We illustrate the performance and the robustness to variability in the unknown classes on popular image-classification benchmarks.",Abstraction; Computer science; Artificial neural network,Anomaly Detection Techniques and Applications; Adversarial Robustness in Machine Learning; Explainable Artificial Intelligence (XAI),Perception-related,Feature and Activation Extraction,0.4027,0.2379,0.1648,True
Balakrishnan2021PerceMon:Systems,PerceMon: Online Monitoring for Perception Systems,2021,inproceedings,"Runtime Verification - 21st International Conference, RV 2021, Virtual Event, October 11-14, 2021, Proceedings",10.1007/978-3-030-88494-9_18,W3196228097,1,,Computer science; Middleware (distributed applications); Perception; Semantics (computer science); Real-time computing; State (computer science); Collision avoidance; Distributed computing; Embedded system,"Formal Methods in Verification; Semantic Web and Ontologies; Logic, Reasoning, and Knowledge",Perception-related,Other Perception Methods,0.3912,0.2345,0.1566,True
DiBiase2021Pixel-wiseScenes,Pixel-wise anomaly detection in complex driving scenes,2021,inproceedings,Proceedings of the IEEE CVF conference on computer vision and pattern recognition,,W3135329277,15,"The inability of state-of-the-art semantic segmentation methods to detect anomaly instances hinders them from being deployed in safety-critical and complex applications, such as autonomous driving. Recent approaches have focused on either leveraging segmentation uncertainty to identify anomalous areas or re-synthesizing the image from the semantic label map to find dissimilarities with the input image. In this work, we demonstrate that these two methodologies contain complementary information and can be combined to produce robust predictions for anomaly segmentation. We present a pixel-wise anomaly detection framework that uses uncertainty maps to improve over existing re-synthesis methods in finding dissimilarities between the input and generated images. Our approach works as a general framework around already trained segmentation networks, which ensures anomaly detection without compromising segmentation accuracy, while significantly out performing all similar methods. Top-2 performance across a range of different anomaly datasets shows the robustness of our approach to handling different anomaly instances.",Anomaly detection; Segmentation; Computer science; Robustness (evolution); Artificial intelligence; Pixel; Anomaly (physics); Image segmentation; Pattern recognition (psychology); Computer vision; Data mining,Anomaly Detection Techniques and Applications; Adversarial Robustness in Machine Learning; Digital Media Forensic Detection,Perception-related,Feature and Activation Extraction,0.4717,0.2903,0.1814,True
NilsLubbe2018PredictedDriving,Predicted road traffic fatalities in Germany: the potential and limitations of  vehicle safety technologies from passive safety to highly automated driving,2018,inproceedings,,,W2936698298,18,"It has been proposed that automated vehicles will greatly increase road traffic safety. However, few attempts have been made to quantify this thesis and to compare the expected benefits with more traditional safety systems. This study was carried out in five steps, adding systems in each step (from passive safety, standard Advances Driver Assistance Systems (ADAS), advanced ADAS, safety-minded driving, to cautious driving) in order to capture the benefit of increasing levels of automation. Conservative and optimistic rules based on the expected performance of each safety system were developed and applied to the German In-Depth Accident Study database. Adding safety systems was effective in preventing fatalities, ranging from 12-13% (step 1, passive safety, no automation, conservative-optimistic estimate) to 45-63% (step 5, cautious driving). The highest automation level, in step 5, achieved a reduction of Vulnerable Road User (VRU) fatalities of 33-41%. Thus, passive and active safety systems contribute substantially to preventing fatalities and their further development and deployment should not be abandoned. Even the safest foreseeable, highly automated passenger cars are not likely to avoid all crashes and all road traffic fatalities. While increased market penetration across safety systems will make road traffic substantially safer, more efforts are needed to protect VRUs.",SAFER; Automation; Advanced driver assistance systems; Transport engineering; Active safety; System safety; Software deployment; Vehicle safety; Engineering; Poison control; Risk analysis (engineering); Computer security; Occupational safety and health; Computer science,Traffic and Road Safety; Autonomous Vehicle Technology and Safety; Human-Automation Interaction and Safety,Trajectory-related,Challenging the System Under Test,0.4829,0.3374,0.1456,True
