bibkey,title,year,type,venue,doi,openalex_id,cited_by,abstract,concepts,oa_topics,class,subsection,class_score,offtopic_score,margin,relevant
ke2017cost,A Cost-Effective Framework for Automated Vehicle-Pedestrian Near-Miss Detection Through Onboard Monocular Vision,2017,misc,,,W2736402913,26,Onboard monocular cameras have been widely deployed in both public transit and personal vehicles. Obtaining vehicle-pedestrian near-miss event data from onboard monocular vision systems may be cost-effective compared with onboard multiple-sensor systems or traffic surveillance videos. But extracting near-misses from onboard monocular vision is challenging and little work has been published. This paper fills the gap by developing a framework to automatically detect vehicle-pedestrian near-misses through onboard monocular vision. The proposed framework can estimate depth and real-world motion information through monocular vision with a moving video background. The experimental results based on processing over 30-hours video data demonstrate the ability of the system to capture near-misses by comparison with the events logged by the Rosco/MobilEye Shield+ system which includes four cameras working cooperatively. The detection overlap rate reaches over 90% with the thresholds properly set.,Computer vision; Monocular vision; Monocular; Computer science; Artificial intelligence; Pedestrian; Event (particle physics); Machine vision; Pedestrian detection; Real-time computing,Video Surveillance and Tracking Methods; Autonomous Vehicle Technology and Safety; Advanced Neural Network Applications,Perception-related,Other Perception Methods,0.457,0.3228,0.1342,True
DeGelder2023Quantitative,A quantitative method to determine what collisions are reasonably foreseeable and preventable,2023,article,Safety Science,10.1016/j.ssci.2023.106233,W4385506450,7,,Computer science,Autonomous Vehicle Technology and Safety; Traffic and Road Safety; Traffic control and management,Trajectory-related,Probability Estimation,0.6348,0.2523,0.3825,True
DBLP:conf/rocks/GeblerHT12,Computing Behavioral Relations for Probabilistic Concurrent Systems,2012,inproceedings,"Stochastic Model Checking. Rigorous Dependability Analysis Using Model
Checking Techniques for Stochastic Systems - International Autumn
School, {ROCKS} 2012, Vahrn, Italy, October 22-26, 2012, Advanced
Lectures",10.1007/978-3-662-45489-3_5,W106195609,7,,Computer science; Probabilistic logic; Abstraction; Theoretical computer science,"Formal Methods in Verification; Logic, Reasoning, and Knowledge; Bayesian Modeling and Causal Inference",Trajectory-related,Probability Estimation,0.2915,0.1582,0.1333,True
Wang2021AReview,A review of surrogate safety measures and their applications in connected and automated vehicles safety modeling,2021,article,Accident Analysis {\&} Prevention,10.1016/j.aap.2021.106157,W3161651929,435,,Platoon; Crash; Computer science; Automation; Risk analysis (engineering); Systems engineering,Traffic control and management; Autonomous Vehicle Technology and Safety; Traffic and Road Safety,Trajectory-related,Surrogate Safety Metrics,0.7068,0.2895,0.4173,True
Brannstrom2008Situation,A situation and threat assessment algorithm for a rear-end collision avoidance system,2008,inproceedings,2008 IEEE Intelligent Vehicles Symposium,10.1109/ivs.2008.4621250,W2109086258,52,"Rear-end collisions are common accident scenarios and a frequent cause of these accidents is driver distraction. This paper presents a situation assessment (SA) algorithm that estimates driver distraction by continuously assessing the steering actions of the driver. A collision avoidance (CA) system is proposed, which combines the SA with a threat assessment (TA) algorithm that estimates the effort needed to avoid a collision. It is shown that the SA algorithm proposed enables the CA system to initiate earlier brake interventions when the driver is assessed as being distracted, without significantly increasing the risk of false interventions in real traffic. The CA system has been evaluated in both collision situations on a test track and during 200 driving hours in real traffic conditions.",Distraction; Collision avoidance; Collision; Computer science; Brake; Psychological intervention; Algorithm; Collision avoidance system; Simulation; Computer security; Engineering,Autonomous Vehicle Technology and Safety; Human-Automation Interaction and Safety; Traffic and Road Safety,Trajectory-related,Surrogate Safety Metrics,0.619,0.3223,0.2967,True
Morris2008A,A survey of vision-based trajectory learning and analysis for surveillance,2008,misc,IEEE Transactions on Circuits and Systems for Video Technology,10.1109/tcsvt.2008.927109,W2133235827,472,"This paper presents a survey of trajectory-based activity analysis for visual surveillance. It describes techniques that use trajectory data to define a general set of activities that are applicable to a wide range of scenes and environments. Events of interest are detected by building a generic topographical scene description from underlying motion structure as observed over time. The scene topology is automatically learned and is distinguished by points of interest and motion characterized by activity paths. The methods we review are intended for real-time surveillance through definition of a diverse set of events for further analysis triggering, including virtual fencing, speed profiling, behavior classification, anomaly detection, and object interaction.",Computer science; Trajectory; Anomaly detection; Computer vision; Artificial intelligence; Motion analysis; Profiling (computer programming); Set (abstract data type); Object detection; Data mining,Video Surveillance and Tracking Methods; Anomaly Detection Techniques and Applications; Human Pose and Action Recognition,Trajectory-related,Machine Learning (trajectory),0.5187,0.2747,0.244,True
Luettin2022ASurvey,A Survey on Knowledge Graph-based Methods for Automated Driving,2022,article,,,W4313041116,21,,Computer science; Categorization; Graph; Knowledge graph; Artificial intelligence; Machine learning; Data science,Advanced Graph Neural Networks; Data Quality and Management; Graph Theory and Algorithms,Knowledge-driven,Influencing Factors,0.6229,0.4044,0.2185,True
Arun2021Systematic,A Systematic Mapping Review of Surrogate Safety Assessment Using Traffic Conflict Techniques,2021,article,Accident Analysis {\&} Prevention,10.1016/j.aap.2021.106016,W3131573665,282,,Crash; Risk analysis (engineering); Poison control; Risk assessment; Occupational safety and health; Computer science; Transport engineering; Computer security; Engineering,Traffic and Road Safety; Occupational Health and Safety Research; Safety Warnings and Signage,Trajectory-related,Surrogate Safety Metrics,0.755,0.2531,0.5019,True
Li2021Theoretical,A Theoretical Foundation of Intelligence Testing and Its Application for Intelligent Vehicles,2021,article,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2020.2991039,W3032950445,66,"Intelligent vehicle testing received quickly increasing attention due to the intermittent accidents of intelligent vehicle prototypes that occurred recently. In this paper, we investigate the theoretical underpinnings of such testing and establish a rigid analyzing framework for general intelligence testing problems by borrowing the ideas of Probably Approximately Correct (PAC) learning. Our focus is on the relationship between the number of sampled scenarios and the testing efficiency. We explain various existing algorithms within this new framework and clarify some misconceptions about the reasoning underpinning these methods. We show that intelligent vehicles are testable if the testing scenarios are well defined and appropriately sampled. Moreover, we propose a sampling strategy to generate new challenging scenarios to boost testing efficiency.",Underpinning; Focus (optics); Computer science; Intelligent transportation system; Artificial general intelligence; Artificial intelligence; Intelligent decision support system; Machine learning; Foundation (evidence),Machine Learning and Algorithms; Machine Learning and Data Classification; Adversarial Robustness in Machine Learning,Trajectory-related,Challenging the System Under Test,0.5797,0.3773,0.2025,True
Zhao2018Accelerated,Accelerated Evaluation of Automated Vehicles in Car-Following Maneuvers,2018,article,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2017.2701846,W2511072509,246,"The safety of automated vehicles (AVs) must be assured before their release and deployment. The current approach to evaluation relies primarily on 1) testing AVs on public roads or 2) track testing with scenarios defined in a test matrix. These two methods have completely opposing drawbacks: the former, while offering realistic scenarios, takes too much time to execute and the latter, though it can be completed in a short amount of time, has no clear correlation to safety benefits in the real world. To avoid the aforementioned problems, we propose accelerated evaluation, focusing on the car-following scenario. The stochastic human-controlled vehicle (HV) motions are modeled based on 1.3 million miles of naturalistic driving data collected by the University of Michigan Safety Pilot Model Deployment Program. The statistics of the HV behaviors are then modified to generate more intense interactions between HVs and AVs to accelerate the evaluation procedure. The importance sampling theory was used to ensure that the safety benefits of AVs are accurately assessed under accelerated tests. Crash, injury and conflict rates for a simulated AV are simulated to demonstrate the proposed approach. Results show that test duration is reduced by a factor of 300 to 100 000 compared with the non-accelerated (naturalistic) evaluation. In other words, the proposed techniques have great potential for accelerating the AV evaluation process.",Software deployment; Crash; Computer science; Process (computing); Duration (music); Advanced driver assistance systems; Simulation; Engineering; Reliability engineering,Traffic and Road Safety; Autonomous Vehicle Technology and Safety; Traffic control and management,Trajectory-related,Novel Scenario Generation,0.6164,0.3575,0.259,True
Xu2018Accelerated,"Accelerated testing for automated vehicles safety evaluation in cut-in scenarios based on importance sampling, genetic algorithm and simulation applications",2018,article,Journal of Intelligent and Connected Vehicles,10.1108/jicv-01-2018-0002,W2885911069,33,"Purpose It would take billions of miles’ field road testing to demonstrate that the safety of automated vehicle is statistically significantly higher than the safety of human driving because that the accident of vehicle is rare event. Design/methodology/approach This paper proposes an accelerated testing method for automated vehicles safety evaluation based on improved importance sampling (IS) techniques. Taking the typical cut-in scenario as example, the proposed method extracts the critical variables of the scenario. Then, the distributions of critical variables are statistically fitted. The genetic algorithm is used to calculate the optimal IS parameters by solving an optimization problem. Considering the error of distribution fitting, the result is modified so that it can accurately reveal the safety benefits of automated vehicles in the real world. Findings Based on the naturalistic driving data in Shanghai, the proposed method is validated by simulation. The result shows that compared with the existing methods, the proposed method improves the test efficiency by 35 per cent, and the accuracy of accelerated test result is increased by 23 per cent. Originality/value This paper has three contributions. First, the genetic algorithm is used to calculate IS parameters, which improves the efficiency of test. Second, the result of test is modified by the error correction parameter, which improves the accuracy of test result. Third, typical high-risk cut-in scenarios in China are analyzed, and the proposed method is validated by simulation.",Genetic algorithm; Sampling (signal processing); Computer science; Algorithm; Reliability engineering; Data mining; Simulation,Probability and Risk Models; Automotive and Human Injury Biomechanics; Traffic and Road Safety,Trajectory-related,Novel Scenario Generation,0.5141,0.3181,0.196,True
Steve2023Advancing,Advancing investigation of automated vehicle crashes using text analytics of crash narratives and Bayesian analysis,2023,article,Accident Analysis {\&} Prevention,,W4312199925,41,,Crash; Poison control; Collision; Transport engineering; Engineering; Automation; Computer security; Computer science,Traffic and Road Safety; Autonomous Vehicle Technology and Safety; Human-Automation Interaction and Safety,Trajectory-related,Probability Estimation,0.4221,0.354,0.068,True
Koopman2023Anatomy,Anatomy of a Robotaxi Crash: Lessons from the Cruise Pedestrian Dragging Mishap,2023,techreport,,,W4402338905,9,,Cruise; Crash; Pedestrian; Computer science; Aeronautics; Computer graphics (images); Simulation,Automotive and Human Injury Biomechanics; Transportation Safety and Impact Analysis; Autonomous Vehicle Technology and Safety,Trajectory-related,Surrogate Safety Metrics,0.354,0.2933,0.0608,True
Chandola2009Anomaly,Anomaly detection: A survey,2009,article,ACM Comput. Surv.,10.1145/1541880.1541882,W2122646361,11048,"Anomaly detection is an important problem that has been researched within diverse research areas and application domains. Many anomaly detection techniques have been specifically developed for certain application domains, while others are more generic. This survey tries to provide a structured and comprehensive overview of the research on anomaly detection. We have grouped existing techniques into different categories based on the underlying approach adopted by each technique. For each category we have identified key assumptions, which are used by the techniques to differentiate between normal and anomalous behavior. When applying a given technique to a particular domain, these assumptions can be used as guidelines to assess the effectiveness of the technique in that domain. For each category, we provide a basic anomaly detection technique, and then show how the different existing techniques in that category are variants of the basic technique. This template provides an easier and more succinct understanding of the techniques belonging to each category. Further, for each category, we identify the advantages and disadvantages of the techniques in that category. We also provide a discussion on the computational complexity of the techniques since it is an important issue in real application domains. We hope that this survey will provide a better understanding of the different directions in which research has been done on this topic, and how techniques developed in one area can be applied in domains for which they were not intended to begin with.",Computer science; Anomaly detection; Domain (mathematical analysis); Key (lock); Anomaly (physics); Data mining; Data science; Artificial intelligence; Machine learning,Anomaly Detection Techniques and Applications; Network Security and Intrusion Detection; Data Stream Mining Techniques,Perception-related,Feature and Activation Extraction,0.3073,0.3988,-0.0915,False
DeGelder2017Assessment,Assessment of Automated Driving Systems using real-life scenarios,2017,inproceedings,"IEEE Intelligent Vehicles Symposium, Proceedings",10.1109/ivs.2017.7995782,W2739735772,107,"More and more Advanced Driver Assistance Systems (ADAS) are entering the market for improving both safety and comfort by assisting the driver with their driving task. An important aspect in developing future ADAS and Automated Driving Systems (ADS) is testing and validation. Validating the failure rate of an ADS requires so many operational hours that testing in real time is almost impossible. One way to reduce this test load is virtual testing or hardware in-the-loop testing. The major challenge is to create realistic test cases that closely resemble the situation on the road. We present a way to use data of naturalistic driving to generate test cases for Monte-Carlo simulations of ADS. Because real-life data is used, the assessment allows to draw conclusions on how the ADS would perform in real traffic. The method, developed in EU AdaptIVe, is demonstrated by testing an Adaptive Cruise Control (ACC) system in scenarios where the predecessor of the ego vehicle is braking. We show that the probability of the occurrence of unsafe situations with the ACC system can be accurately and efficiently determined.",Cruise control; Computer science; Advanced driver assistance systems; Task (project management); Scenario testing; Driving simulator; Simulation; Real-time computing; Reliability engineering; Control (management),Autonomous Vehicle Technology and Safety; Traffic control and management; Vehicular Ad Hoc Networks (VANETs),Trajectory-related,Novel Scenario Generation,0.6477,0.3918,0.2559,True
Althoff2018Automatic,Automatic Generation of Safety-Critical Test Scenarios for Collision Avoidance of Road Vehicles,2018,inproceedings,2018 IEEE Intelligent Vehicles Symposium (IV),10.1109/ivs.2018.8500374,W2891056855,135,"It is apparent that one cannot rely solely on physical test drives for ensuring the correct functionality of autonomous vehicles. Since physical test drives are costly and time consuming, it is advantageous to accompany them with computer simulations. However, since most traffic scenarios are not challenging, even simulations are often too time consuming. To address this issue, we present an approach that creates automatically critical driving situations, i.e., situations with a small solution space for avoiding a collision. Our approach combines reachability analysis for determining the size of the solution space with optimization techniques to shrink it. The solution space is reduced by shifting the initial states of traffic participants, demanding an immediate and correct action of the vehicle under test. We demonstrate our approach by automatically increasing the criticality of several initially uncritical situations recorded from real traffic.",Collision avoidance; Computer science; Reachability; Criticality; Space (punctuation); Action (physics); Collision; Test (biology); Simulation,Autonomous Vehicle Technology and Safety; Real-time simulation and control systems; Formal Methods in Verification,Trajectory-related,Challenging the System Under Test,0.6677,0.3434,0.3243,True
Asljung2016Comparing,Comparing Collision Threat Measures for Verification of Autonomous Vehicles using Extreme Value Theory,2016,article,IFAC-PapersOnLine,10.1016/j.ifacol.2016.07.709,W2509695072,22,"The verification of safety is expected to be one of the largest challenges in the commercialization of autonomous vehicles. Using traditional methods would require infeasible time and resources. Recent research has shown the possibility of using near-collisions in order to estimate the frequency of actual collisions using Extreme Value Theory. However, little research has been done on how the measure for determining the closeness to a collision affect the result of the estimation. This paper compares a collision-based measure against one that relates to an inevitable collision state. The result shows that using inevitable collision states is more robust and that more research needs to be made into measures of collision proximity.",Collision; Measure (data warehouse); Closeness; Commercialization; Computer science; Value (mathematics); Order (exchange); Simulation,Risk and Safety Analysis; Probabilistic and Robust Engineering Design; Autonomous Vehicle Technology and Safety,Trajectory-related,Surrogate Safety Metrics,0.5866,0.3844,0.2022,True
Sun2021Corner,Corner case generation and analysis for safety assessment of autonomous vehicles,2021,article,Transportation research record,,W3179903080,47,"Testing and evaluation is a crucial step in the development and deployment of connected and automated vehicles (CAVs). To comprehensively evaluate the performance of CAVs, it is necessary to test the CAVs in safety-critical scenarios, which rarely happen in a naturalistic driving environment. Therefore, how to purposely and systematically generate these corner cases becomes an important problem. Most existing studies focus on generating adversarial examples for perception systems of CAVs, whereas limited efforts have been put into decision-making systems, which is the highlight of this paper. As the CAVs need to interact with numerous background vehicles (BVs) for a long duration, variables that define the corner cases are usually high-dimensional, which makes the generation a challenging problem. In this paper, a unified framework is proposed to generate corner cases for decision-making systems. To address the challenge brought by high dimensionality, the driving environment is formulated based on the Markov decision process, and the deep reinforcement learning techniques are applied to learn the behavior policy of BVs. With the learned policy, BVs behave and interact with the CAVs more aggressively, resulting in more corner cases. To further analyze the generated corner cases, the techniques of feature extraction and clustering are utilized. By selecting representative cases of each cluster and outliers, the valuable corner cases can be identified from all generated corner cases. Simulation results of a highway driving environment show that the proposed methods can effectively generate and identify the valuable corner cases.",Computer science; Markov decision process; Software deployment; Cluster analysis; Artificial intelligence; Outlier; Process (computing); Reinforcement learning; Feature (linguistics); Focus (optics); Machine learning,Autonomous Vehicle Technology and Safety; Adversarial Robustness in Machine Learning; Traffic and Road Safety,Trajectory-related,Challenging the System Under Test,0.66,0.4284,0.2316,True
Imprialou2019Crash,Crash data quality for road safety research: Current state and future directions,2019,article,Accident Analysis {\&} Prevention,,W2593201274,191,,Crash; Data quality; Correctness; Poison control; Identification (biology); Quality (philosophy); Data collection; Data science; Transport engineering; Computer science; Human factors and ergonomics; Engineering; Risk analysis (engineering); Computer security,Traffic and Road Safety; Injury Epidemiology and Prevention; Traffic Prediction and Management Techniques,Trajectory-related,Surrogate Safety Metrics,0.4851,0.2678,0.2174,True
Koopman2019Credible,Credible Autonomy Safety Argumentation,2019,inproceedings,,,W7125637341,0,"A significant challenge to deploying mission- and safety-critical autonomous systems is the difficulty of creating a credible assurance argument. This paper collects lessons learned from having observed both credible and faulty assurance argumentation attempts, with a primary emphasis on autonomous ground vehicle safety cases. Various common argumentation approaches are described, including conformance to a non-autonomy safety standard, proven in use, field testing, simulation, and formal verification. Of particular note are argumentation faults and anti-patterns that have shown up in numerous safety cases that we have encountered. These observations can help both designers and auditors detect common mistakes in safety argumentation for autonomous systems",Argumentation theory; Audit; Autonomy; Computer science; Field (mathematics); Risk analysis (engineering); Engineering ethics; Computer security; Safety assurance; Common ground; Safety case,Safety Systems Engineering in Autonomy; Formal Methods in Verification; Autonomous Vehicle Technology and Safety,Trajectory-related,Challenging the System Under Test,0.5947,0.2799,0.3148,True
Szalay2023Critical,Critical Scenario Identification Concept: The Role of the Scenario-in-the-Loop Approach in Future Automotive Testing,2023,article,IEEE Access,10.1109/access.2023.3298875,W4385236720,7,"Innovative testing and validation methods are prerequisites concerning Connected, Cooperative, and Automated Mobility (CCAM) as the high number of cooperating participants and concurrent processes critically increase the probability of adverse safety and security incidents. The proposed new approaches deal with this increasing complexity of not currently having generally accepted validation mechanisms. The paper introduces a novel, mathematical model based, scenario identification methodology, facilitating the selection of critical road vehicle traffic scenarios, taking into account different testing objectives, such as maximizing the safety risk of the analyzed system. The presented results verify that applying specific decision models and quantifiable indicators related to the system elements of highly automated mobility systems can significantly contribute to the systematic identification of unsafe corner cases in connected and cooperative autonomous systems.",Computer science; Identification (biology); Automotive industry; Risk analysis (engineering); Reliability engineering; Systems engineering,Autonomous Vehicle Technology and Safety; Vehicular Ad Hoc Networks (VANETs); Traffic control and management,Trajectory-related,Novel Scenario Generation,0.6203,0.3689,0.2514,True
Neurohr2021Criticality,Criticality Analysis for the Verification and Validation of Automated Vehicles,2021,article,IEEE Access,10.1109/access.2021.3053159,W3124527002,123,"The process of verification and validation of automated vehicles poses a multi-faceted challenge with far-reaching societal, economical and ethical consequences. In particular, fully automated vehicles at SAE Level 4 and 5 will be expected to operate safely in an arbitrarily complex, infinite-dimensional domain called open context. In order to give structure to the open context, we propose a methodical criticality analysis that maps an infinite-dimensional domain onto a finite and manageable set of artifacts that capture and explain the emergence of critical situations for automated vehicles. We propose a combined approach of expert-based and data-driven methods to identify relevant phenomena and explain the underlying causalities. Leveraging on abstraction, we define a clearly laid out process that converges towards a manageable set of artifacts based on two assumptions on the nature of traffic. A criticality analysis precedes the design phase of an automated vehicle and is therefore located outside the V-model. As the open context is analyzed independently of a concrete realization, it is relevant for any automated vehicle operating within that domain. Therefore, its results can subsequently be used to derive safety principles and mitigation mechanisms for automated driving and to set up a coherent safety argument for the homologation process.",Computer science; Criticality,Autonomous Vehicle Technology and Safety; Real-time simulation and control systems; Safety Systems Engineering in Autonomy,Trajectory-related,Challenging the System Under Test,0.6391,0.3929,0.2462,True
Westhofen2023Criticality,Criticality Metrics for Automated Driving: A Review and Suitability Analysis of the State of the Art,2023,misc,Archives of Computational Methods in Engineering,10.1007/s11831-022-09788-7,W3190994148,130,"Abstract The large-scale deployment of automated vehicles on public roads has the potential to vastly change the transportation modalities of today’s society. Although this pursuit has been initiated decades ago, there still exist open challenges in reliably ensuring that such vehicles operate safely in open contexts. While functional safety is a well-established concept, the question of measuring the behavioral safety of a vehicle remains subject to research. One way to both objectively and computationally analyze traffic conflicts is the development and utilization of so-called criticality metrics. Contemporary approaches have leveraged the potential of criticality metrics in various applications related to automated driving, e.g. for computationally assessing the dynamic risk or filtering large data sets to build scenario catalogs. As a prerequisite to systematically choose adequate criticality metrics for such applications, we extensively review the state of the art of criticality metrics, their properties, and their applications in the context of automated driving. Based on this review, we propose a suitability analysis as a methodical tool to be used by practitioners. Both the proposed method and the state of the art review can then be harnessed to select well-suited measurement tools that cover an application’s requirements, as demonstrated by an exemplary execution of the analysis. Ultimately, efficient, valid, and reliable measurements of an automated vehicle’s safety performance are a key requirement for demonstrating its trustworthiness.","Criticality; Computer science; Failure mode, effects, and criticality analysis; Software deployment; Context (archaeology); Key (lock); Risk analysis (engineering); Data science; Systems engineering; Software engineering",Autonomous Vehicle Technology and Safety; Safety Systems Engineering in Autonomy; Software Reliability and Analysis Research,Trajectory-related,Surrogate Safety Metrics,0.616,0.3985,0.2175,True
Muslim2023CutOut,Cut-Out Scenario Generation With Reasonability Foreseeable Parameter Range From Real Highway Dataset for Autonomous Vehicle Assessment,2023,article,IEEE Access,10.1109/access.2023.3268703,W4366503832,25,"This study aims to generate test cases for scenario-based assessment of automated driving systems (ADS) when encountering a cut-out maneuver where the lead vehicle having changed lanes, revealing a new lead vehicle that, in some cases, is slower than the original lead (the cutting-out) vehicle. We extracted the cut-out scenarios from an established real-world traffic dataset recorded by instrumented vehicles on Japanese highways and then defined using vehicle kinematic parameters (velocities and distances). The extracted scenarios were analyzed based on the direct correlation between every two consecutive vehicles: a rear part that describes the correlation between the following vehicle and the cutting-out vehicles; and a frontal part that describes the correlation between the cutting-out vehicle and the preceding vehicle. Parameter ranges were quantified with a regression model and determined based on the risk acceptance threshold applied in the field of Japanese high-speed trains and annual exposure by professional highway drivers to produce a scenario space with a reasonably foreseeable range in which ADS may not produce crashes lest it performs worse than human drivers. A multi-dimensional distribution analytical approach was used to derive a correlation between the following vehicle and the preceding vehicle considering the initial longitudinal velocities. Results suggest that there should be no risk of a collision between the following vehicle and the preceding vehicle when the time headway between the following vehicle and the cutting-out vehicle is equal to or more than 2 s. These findings can help to understand normative driver behavior during cut-out scenarios and to generate accident-free scenario space for which ADS must perform flawlessly.",Range (aeronautics); Computer science; Vehicle dynamics; Headway; Kinematics; Collision; Simulation; Train; Truck; Automotive engineering,Autonomous Vehicle Technology and Safety; Traffic and Road Safety; Human-Automation Interaction and Safety,Trajectory-related,Novel Scenario Generation,0.587,0.4087,0.1783,True
Pang2021Deep,Deep Learning for Anomaly Detection: A Review,2021,article,ACM Computing Surveys,10.1145/3439950,W3040266635,2430,"Anomaly detection, a.k.a. outlier detection or novelty detection, has been a lasting yet active research area in various research communities for several decades. There are still some unique problem complexities and challenges that require advanced approaches. In recent years, deep learning enabled anomaly detection, i.e., deep anomaly detection , has emerged as a critical direction. This article surveys the research of deep anomaly detection with a comprehensive taxonomy, covering advancements in 3 high-level categories and 11 fine-grained categories of the methods. We review their key intuitions, objective functions, underlying assumptions, advantages, and disadvantages and discuss how they address the aforementioned challenges. We further discuss a set of possible future opportunities and new perspectives on addressing the challenges.",Anomaly detection; Deep learning; Computer science; Artificial intelligence; Key (lock); Set (abstract data type); Novelty; Novelty detection; Anomaly (physics); Outlier; Data science; Machine learning; Open research,Anomaly Detection Techniques and Applications; Machine Learning and Data Classification; Network Security and Intrusion Detection,Perception-related,Feature and Activation Extraction,0.5498,0.2986,0.2512,True
Tian2018DeepTest,Deeptest: Automated testing of deep-neural-network-driven autonomous cars,2018,inproceedings,Proceedings of the 40th international conference on software engineering,,W2753704268,221,"Recent advances in Deep Neural Networks (DNNs) have led to the development of DNN-driven autonomous cars that, using sensors like camera, LiDAR, etc., can drive without any human intervention. Most major manufacturers including Tesla, GM, Ford, BMW, and Waymo/Google are working on building and testing different types of autonomous vehicles. The lawmakers of several US states including California, Texas, and New York have passed new legislation to fast-track the process of testing and deployment of autonomous vehicles on their roads. However, despite their spectacular progress, DNNs, just like traditional software, often demonstrate incorrect or unexpected corner case behaviors that can lead to potentially fatal collisions. Several such real-world accidents involving autonomous cars have already happened including one which resulted in a fatality. Most existing testing techniques for DNN-driven vehicles are heavily dependent on the manual collection of test data under different driving conditions which become prohibitively expensive as the number of test conditions increases. In this paper, we design, implement and evaluate DeepTest, a systematic testing tool for automatically detecting erroneous behaviors of DNN-driven vehicles that can potentially lead to fatal crashes. First, our tool is designed to automatically generated test cases leveraging real-world changes in driving conditions like rain, fog, lighting conditions, etc. DeepTest systematically explores different parts of the DNN logic by generating test inputs that maximize the numbers of activated neurons. DeepTest found thousands of erroneous behaviors under different realistic driving conditions (e.g., blurring, rain, fog, etc.) many of which lead to potentially fatal crashes in three top performing DNNs in the Udacity self-driving car challenge.",Computer science; Software deployment; Artificial neural network; Deep neural networks; Automotive industry; Process (computing); Software; Artificial intelligence; Real-time computing; Embedded system,Adversarial Robustness in Machine Learning; Advanced Neural Network Applications; Software Testing and Debugging Techniques,Trajectory-related,Challenging the System Under Test,0.5615,0.3622,0.1993,True
Markkula2020Defining,Defining interactions: a conceptual framework for understanding interactive behaviour in human and automated road traffic,2020,article,Theoretical Issues in Ergonomics Science,10.1080/1463922x.2020.1736686,W3011630888,219,"Rapid advances in technology for highly automated vehicles (HAVs) have raised concerns about coexistence of HAVs and human road users. Although there is a long tradition of research into human road user interactions, there is a lack of shared models and terminology to support cross-disciplinary research and development towards safe and acceptable interaction-capable HAVs. Here, we review the main themes and findings in previous theoretical and empirical interaction research, and find large variability in perspectives and terminologies. We unify these perspectives in a structured, cross-theoretical conceptual framework, describing what road traffic interactions are, how they arise, and how they get resolved. Two key contributions are: (1) a stringent definition of “interaction”, as “a situation where the behaviour of at least two road users can be interpreted as being influenced by the possibility that they are both intending to occupy the same region of space at the same time in the near future”, and (2) a taxonomy of the types of behaviours that road users exhibit in interactions. We hope that this conceptual framework will be useful in the development of improved empirical methodology, theoretical models, and technical requirements on vehicle automation.",Human–computer interaction; Computer science; Transport engineering; Conceptual framework; Psychology; Engineering; Cognitive science,Human-Automation Interaction and Safety; Social Robot Interaction and HRI; Transportation and Mobility Innovations,Trajectory-related,Novel Scenario Generation,0.5103,0.4022,0.1082,True
Nakamura2022Defining,Defining Reasonably Foreseeable Parameter Ranges Using Real-World Traffic Data for Scenario-Based Safety Assessment of Automated Vehicles,2022,article,IEEE Access,10.1109/access.2022.3162601,W4225524751,33,"Verification and validation of automated driving systems’ safety are some of the biggest challenges for the introduction of automated vehicles into the market. Scenario-based safety assessment is an efficient and repeatable method to test the systems’ safety before their deployment in the real world. However, even with limited traffic situations identified as critical to the system behavior, there is still an open range of parameters to describe each situation. Thus, defining specific parameter ranges is crucial to realize the scenario-based safety assessment approach. This study proposes a method to parameterize scenarios extracted from real-world traffic data, analyze their distribution and correlation, and incorporate them into the definition of reasonably foreseeable parameter ranges through the contextualization of resulting ranges with reasonable risk acceptance thresholds from different fields and international environments. Representative values can be selected from these specific parameter ranges to extract specific concrete scenarios applicable for the systems safety assessment. The applicability of the proposed method is demonstrated using parameter ranges obtained to define two sets of 960 cut-in and 6,442 deceleration scenarios extracted from a new set of traffic data collected from Japanese highways under the SAKURA initiative. The outcomes will enable comparisons with traffic data from other countries and inform automated driving system developers, standardization bodies, and policymakers to develop automated vehicle safety assessments applicable internationally.",Computer science; Software deployment; Standardization; Range (aeronautics); Set (abstract data type); Data mining; Reliability engineering,Autonomous Vehicle Technology and Safety; Traffic and Road Safety; Traffic control and management,Trajectory-related,Novel Scenario Generation,0.6583,0.3162,0.3421,True
Bogdoll2021Description,Description of Corner Cases in Automated Driving: Goals and Challenges,2021,inproceedings,,,W3201551811,2,"Scaling the distribution of automated vehicles requires handling various unexpected and possibly dangerous situations, termed corner cases (CC). Since many modules of automated driving systems are based on machine learning (ML), CC are an essential part of the data for their development. However, there is only a limited amount of CC data in large-scale data collections, which makes them challenging in the context of ML. With a better understanding of CC, offline applications, e.g., dataset analysis, and online methods, e.g., improved performance of automated driving systems, can be improved. While there are knowledge-based descriptions and taxonomies for CC, there is little research on machine-interpretable descriptions. In this extended abstract, we will give a brief overview of the challenges and goals of such a description.",Computer science; Context (archaeology); Data science; Scale (ratio); Artificial intelligence; Machine learning; Data mining,Autonomous Vehicle Technology and Safety; Data Management and Algorithms; Traffic Prediction and Management Techniques,Trajectory-related,Machine Learning (trajectory),0.5691,0.598,-0.029,False
